run,herd ID,herd type ID,herd type,species ID,herd size,farm ID,lat,long,LGA ID,region ID,mega-region ID,jurisdiction ID,risk category,biosecurity weight,unused,unused,day infected,infection pathway,source herd ID,source jurisdiction ID,day clinical,day diagnosed,reason diagnosed,day culled,reason culled,day vaccinated,day immune,last day infected,prevalence,seroprevalence,num sero+,lacto-prevalence
2,20774,2,beef intensive,1,150,20774,-36.3837,144.863,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
2,20775,2,beef intensive,1,71,20775,-36.3089,144.907,165,9,3,2,0.0,1.0,0,0,17,local,58486,2,18,24,SP,27,IP,22,29,27,0.0000,0.0000,0,0.0000
2,58409,6,dairy,1,92,58409,-36.3257,144.935,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
2,59434,6,dairy,1,186,59434,-36.1091,145.185,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,36,43,-1,0.0000,0.0000,0,0.0000
2,59440,6,dairy,1,258,59440,-36.131,145.21,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,36,43,-1,0.0000,0.0000,0,0.0000
2,20785,2,beef intensive,1,133,20785,-36.3107,144.876,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
2,58417,6,dairy,1,221,58417,-36.2742,144.889,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,29,36,-1,0.0000,0.0000,0,0.0000
2,20790,2,beef intensive,1,103,20790,-36.3372,144.875,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
2,58423,6,dairy,1,298,58423,-36.3478,144.956,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,23,30,-1,0.0000,0.0000,0,0.0000
2,64828,7,pigs small,3,497,64828,-36.3539,144.911,165,9,3,2,0.0,0.8,0,0,0,seeding,0,-1,1,18,ARP,20,IP,-1,-1,20,0.0000,0.0000,0,0.0000
2,20807,2,beef intensive,1,90,20807,-36.3329,144.897,165,9,3,2,0.0,1.0,0,0,19,local,58486,2,20,22,SP,25,IP,22,-1,25,0.0000,0.0000,0,0.0000
2,125771,10,smallholder,4,8,125771,-36.218,144.539,165,9,3,2,0.0,1.0,0,0,18,local,20907,2,21,25,ARP,27,IP,-1,-1,27,0.0000,0.0000,0,0.0000
2,58445,6,dairy,1,502,58445,-36.3275,144.918,165,9,3,2,0.0,1.0,0,0,15,local,58486,2,16,24,SP,27,IP,21,28,27,0.0000,0.0000,0,0.0000
2,59213,6,dairy,1,220,59213,-36.0941,145.185,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,44,51,-1,0.0000,0.0000,0,0.0000
2,58447,6,dairy,1,215,58447,-36.3243,144.906,165,9,3,2,0.0,1.0,0,0,22,local,58448,2,23,29,SP,32,IP,21,28,32,0.0000,0.0000,0,0.0000
2,58448,6,dairy,1,184,58448,-36.3245,144.925,165,9,3,2,0.0,1.0,0,0,17,local,58486,2,18,23,SP,26,IP,-1,-1,26,0.0000,0.0000,0,0.0000
